reference,quantity,image_url
3224-2,1,https://pg-plaisio.gr/img/p/1/8/6/0/2/18602.jpg
3243-101,100,https://pg-plaisio.gr/img/p/2/5/2/2/2/25222.jpg
3243-102,100,https://pg-plaisio.gr/img/p/2/5/2/1/6/25216.jpg
3243-104,100,https://pg-plaisio.gr/img/p/2/5/2/1/0/25210.jpg
330-1117,100,https://pg-plaisio.gr/img/p/2/6/1/8/4/26184.jpg
330-1119,100,https://pg-plaisio.gr/img/p/2/6/1/7/8/26178.jpg
330-2874,100,https://pg-plaisio.gr/img/p/2/6/1/7/2/26172.jpg
3339-RH,100,https://pg-plaisio.gr/img/p/2/5/2/0/4/25204.jpg
3350-03,200,https://pg-plaisio.gr/img/p/2/0/3/7/7/20377.jpg
3350-07,200,https://pg-plaisio.gr/img/p/2/0/3/7/1/20371.jpg
3350-81,200,https://pg-plaisio.gr/img/p/4/3/3/3//4333.jpg
3524-17,100,https://pg-plaisio.gr/img/p/2/5/1/8/6/25186.jpg
3524-3,100,https://pg-plaisio.gr/img/p/2/5/1/9/8/25198.jpg
3524-33,100,https://pg-plaisio.gr/img/p/2/5/1/8/0/25180.jpg
3524-37,100,https://pg-plaisio.gr/img/p/2/5/1/7/4/25174.jpg
3524-4,100,https://pg-plaisio.gr/img/p/2/5/1/9/2/25192.jpg
3524-43,100,https://pg-plaisio.gr/img/p/2/5/1/6/8/25168.jpg
3535-171,200,https://pg-plaisio.gr/img/p/1/8/5/9/9/18599.jpg
3535-181,200,https://pg-plaisio.gr/img/p/1/8/5/9/6/18596.jpg
3538-01,100,https://pg-plaisio.gr/img/p/2/5/1/6/2/25162.jpg
3538-02,100,https://pg-plaisio.gr/img/p/2/5/1/5/6/25156.jpg
3540-201,200,https://pg-plaisio.gr/img/p/1/8/5/9/3/18593.jpg
3540-202,199,https://pg-plaisio.gr/img/p/1/8/5/9/0/18590.jpg
3540-204,200,https://pg-plaisio.gr/img/p/1/8/5/8/7/18587.jpg
3540-205,200,https://pg-plaisio.gr/img/p/1/8/5/8/4/18584.jpg
3721-01,100,https://pg-plaisio.gr/img/p/2/5/1/5/0/25150.jpg
3721-02,100,https://pg-plaisio.gr/img/p/2/5/1/4/4/25144.jpg
3721-05,100,https://pg-plaisio.gr/img/p/2/5/1/3/8/25138.jpg
3815-02,200,https://pg-plaisio.gr/img/p/4/3/3/0//4330.jpg
3815-21,200,https://pg-plaisio.gr/img/p/4/3/2/7//4327.jpg
3815-23,200,https://pg-plaisio.gr/img/p/4/3/2/4//4324.jpg
3825-01,99,https://pg-plaisio.gr/img/p/2/5/1/3/2/25132.jpg
3825-02,99,https://pg-plaisio.gr/img/p/2/5/1/2/6/25126.jpg
3825-21,100,https://pg-plaisio.gr/img/p/2/5/1/2/0/25120.jpg
3825-23,100,https://pg-plaisio.gr/img/p/2/5/1/1/4/25114.jpg
3826-01,199,https://pg-plaisio.gr/img/p/4/3/2/1//4321.jpg
3826-15,200,https://pg-plaisio.gr/img/p/4/3/1/8//4318.jpg
3835-113,100,https://pg-plaisio.gr/img/p/2/5/1/0/8/25108.jpg
