reference,legend,image_url,quantity
1BR3895,Ted Broome - Collection of Memories III,https://pg-plaisio.gr/img/p/1/0/3/1/0/10310.jpg,0
1BR3896,Ted Broome - Collection of Memories IV,https://pg-plaisio.gr/img/p/1/0/3/0/6/10306.jpg,0
1BR3897,Ted Broome - Collection of Memories V,https://pg-plaisio.gr/img/p/1/0/3/0/2/10302.jpg,0
1BR3898,Ted Broome - Collection of Memories VI,https://pg-plaisio.gr/img/p/1/0/2/9/7/10297.jpg,0
1BR3901,Ted Broome - Ocean Gift I,https://pg-plaisio.gr/img/p/1/0/2/9/3/10293.jpg,0
1BR3902,Ted Broome - Ocean Gift II,https://pg-plaisio.gr/img/p/1/0/2/8/9/10289.jpg,0
1BR3903,Ted Broome - Ocean Gift III,https://pg-plaisio.gr/img/p/1/0/2/8/5/10285.jpg,0
1BR3904,Ted Broome - Ocean Gift IV,https://pg-plaisio.gr/img/p/1/0/2/8/1/10281.jpg,0
1BR3905,Ted Broome - From the Sea I,https://pg-plaisio.gr/img/p/1/0/2/7/7/10277.jpg,-1
1BR3906,Ted Broome - From the Sea II,https://pg-plaisio.gr/img/p/1/0/2/7/3/10273.jpg,0
1BR3907,Ted Broome - From the Sea III,https://pg-plaisio.gr/img/p/1/0/2/6/9/10269.jpg,0
1BR3908,Ted Broome - From the Sea IV,https://pg-plaisio.gr/img/p/1/0/2/6/5/10265.jpg,-1
1BR860,Ted Broome - Bretagne I,https://pg-plaisio.gr/img/p/1/8/2/4/9/18249.jpg,130
1BR861,Ted Broome - Bretagne II,https://pg-plaisio.gr/img/p/1/8/2/5/1/18251.jpg,130
1BR862,Ted Broome - Bretagne III,https://pg-plaisio.gr/img/p/1/8/2/5/3/18253.jpg,130
1BR863,Ted Broome - Bretagne IV,https://pg-plaisio.gr/img/p/1/8/2/5/5/18255.jpg,130
1BV4440,Viola Bertel - Straight Away I,https://pg-plaisio.gr/img/p/7/0/1/1//7011.jpg,0
1BV4441,Viola Bertel - Straight Away II,https://pg-plaisio.gr/img/p/7/0/1/5//7015.jpg,0
1BV4442,Viola Bertel - Supernatural I,https://pg-plaisio.gr/img/p/7/0/1/9//7019.jpg,0
1BV4443,Viola Bertel - Supernatural II,https://pg-plaisio.gr/img/p/7/0/2/4//7024.jpg,0
1BV4444,Viola Bertel - Sylvia I,https://pg-plaisio.gr/img/p/7/0/2/8//7028.jpg,0
1BV4445,Viola Bertel - Sylvia II,https://pg-plaisio.gr/img/p/7/0/3/2//7032.jpg,0
1BV4446,Viola Bertel - Washed Away I,https://pg-plaisio.gr/img/p/7/0/3/6//7036.jpg,0
1BV4447,Viola Bertel - Washed Away II,https://pg-plaisio.gr/img/p/7/0/4/0//7040.jpg,0
1BV4772,Viola Bertel - Abstract Nature III,https://pg-plaisio.gr/img/p/5/2/1/2//5212.jpg,0
1BV4773,Viola Bertel - Abstract Nature II,https://pg-plaisio.gr/img/p/5/2/1/6//5216.jpg,0
1BV4774,Viola Bertel - Abstract Nature IV,https://pg-plaisio.gr/img/p/5/2/2/0//5220.jpg,0
1BV4775,Viola Bertel - Abstract Nature I,https://pg-plaisio.gr/img/p/5/2/2/4//5224.jpg,0
1BY4170,"Banksy - Great Eastern Street, Shoreditch",https://pg-plaisio.gr/img/p/7/0/4/4//7044.jpg,0
